src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.56.2,192.168.56.1,37462,22,6,2025-08-12 07:17:23,91.032716,123.49406338705747,0.6481186390176473,0.34053691202622144,0.30758172699142583,31,28,5152,6090,970,66,166.19354838709677,213.47031513127922,1066,54,217.5,269.8779486042851,1066,54,190.54237288135593,243.23869298255357,59165.061763860955,620,560,20,23,1.5695295862068968,90.553061,0.0,11.786161974666648,91.017494,90.55732,0.0,3.0339164666666667,16.252696359174045,91.03260499999999,90.553215,0.001209,3.371577962962963,17.097730627866316,23,21,0,0,1,5,1,44,56,0,0,0.9032258064516129,190.54237288135593,64240,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.19354838709677,217.5,0,31,28,5152,6090
192.168.56.2,192.168.56.1,37468,22,6,2025-08-12 07:17:23,91.018847,72.0510115888416,0.46144289215177603,0.2526949171307345,0.20874797502104153,23,19,3179,3379,970,66,138.2173913043478,180.18371217267435,1066,54,177.8421052631579,240.80659703279568,1066,54,156.14285714285714,210.71460855503923,44400.64625850341,460,380,20,14,2.2199718780487805,76.263546,0.0,11.91850643981845,91.01884700000001,76.263602,0.0,4.137220318181818,16.024963556509135,91.01058699999999,76.263669,6.6e-05,5.056143722222222,17.584726239477007,14,12,0,0,0,7,2,26,38,0,0,0.8260869565217391,156.14285714285714,64240,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.2173913043478,177.8421052631579,0,23,19,3179,3379
192.168.56.2,192.168.56.1,37476,22,6,2025-08-12 07:17:23,90.780125,11.34609585523263,0.15421877861481245,0.08812501635132139,0.06609376226349105,8,6,598,432,89,66,74.75,8.926785535678562,88,54,72.0,13.9522996909709,89,54,73.57142857142857,11.437496514998912,130.81632653061226,160,120,20,2,6.983086538461539,90.777088,0.0,24.189244652197452,90.78012500000001,90.777161,0.0,12.968589285714287,31.76521638880787,90.779385,90.77722,4.6e-05,18.155876999999997,36.310671504053666,2,2,0,0,0,5,2,4,11,0,0,0.75,73.57142857142857,64240,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.75,72.0,0,8,6,598,432
192.168.56.2,192.168.56.1,37484,22,6,2025-08-12 07:17:23,90.991173,117.5718440293104,0.6044542364565406,0.3187122337679942,0.2857420026885465,29,26,4892,5806,970,66,168.68965517241378,220.52728401817504,1066,54,223.30769230769232,279.2212755326126,1066,54,194.5090909090909,251.47961223904582,63241.99537190084,580,520,20,21,1.6850217222222217,90.551333,0.0,12.206732194152908,90.97584499999999,90.554052,0.0,3.2491373214285724,16.80184515479146,90.99102900000001,90.551488,0.000516,3.639641160000001,17.74081240051927,21,19,0,0,1,5,1,40,52,0,0,0.896551724137931,194.5090909090909,64240,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.68965517241378,223.30769230769232,0,29,26,4892,5806
192.168.56.2,192.168.56.1,37500,22,6,2025-08-12 07:17:23,90.990134,111.35273193465129,0.5714905310503224,0.2967354680453597,0.2747550630049627,27,25,4544,5588,970,66,168.2962962962963,228.66858029889505,1066,54,223.52,285.5591175220991,1066,54,194.84615384615384,259.0663253816396,67115.36094674557,540,500,20,19,1.7841202745098041,90.615547,0.0,12.562666563566308,90.981372,90.619653,0.0,3.4992835384615386,17.42408113212894,90.990032,90.615729,0.000747,3.7912513333333338,18.10416129259965,19,17,0,0,1,5,1,36,49,0,0,0.9259259259259259,194.84615384615384,64240,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.2962962962963,223.52,0,27,25,4544,5588
192.168.56.2,192.168.56.1,37552,22,6,2025-08-12 07:17:23,90.957528,166.64920796880057,0.8465489519460115,0.42877154708953835,0.41777740485647324,39,38,6755,8403,970,66,173.2051282051282,232.27317907432027,1066,54,221.1315789473684,284.4613720009534,1066,54,196.85714285714286,260.44879918024986,67833.57699443413,780,760,20,27,1.1968095789473685,58.736156,0.0,7.554538410248135,90.95405699999999,58.73999,0.0,2.3935278157894735,10.549655336159567,90.95735499999999,58.736242,0.000432,2.4583068918918918,10.683000530637907,27,25,0,0,2,7,2,52,73,0,0,0.9743589743589743,196.85714285714286,64240,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.2051282051282,221.1315789473684,0,39,38,6755,8403
192.168.56.2,192.168.56.1,37634,22,6,2025-08-12 07:17:23,91.112327,129.35681030295714,0.713405113668099,0.3621902884776503,0.3512148251904487,33,32,5368,6418,970,66,162.66666666666666,207.62344508627862,1066,54,200.5625,256.69241534129907,1066,54,181.3230769230769,233.84380768053822,54682.92639053255,660,640,20,24,1.4236301093750001,90.564595,0.0,11.230711267315428,91.108634,90.570645,0.0,2.8471448125,15.75561501309191,91.11214,90.564827,0.000537,2.9391012903225797,15.998200364873227,24,22,0,0,2,5,2,46,62,0,0,0.9696969696969697,181.3230769230769,64240,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.66666666666666,200.5625,0,33,32,5368,6418
192.168.56.2,192.168.56.1,37650,22,6,2025-08-12 07:17:23,91.132657,194.57349959630827,1.0753554568259762,0.5376777284129881,0.5376777284129881,49,49,8039,9693,970,66,164.0612244897959,208.44393443461544,1066,54,197.81632653061226,254.77101951851907,1066,54,180.9387755102041,233.37400202891158,54463.42482299042,980,980,20,36,0.9395119278350517,76.103732,0.0,7.803728984415845,91.130017,76.107823,0.0,1.8985420208333332,11.01177525599395,91.132506,76.103893,0.000521,1.8985938749999998,11.011125064797366,36,33,0,0,3,7,3,69,94,0,0,1.0,180.9387755102041,64240,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.0612244897959,197.81632653061226,0,49,49,8039,9693
192.168.56.2,192.168.56.1,37658,22,6,2025-08-12 07:17:23,90.802662,137.05545328616026,0.8149540814122829,0.4184899336981993,0.39646414771408356,38,36,5745,6700,970,66,151.18421052631578,195.9004654978427,1066,54,186.11111111111111,245.47400606646923,1066,54,168.17567567567568,222.09526554137713,49326.30697589482,760,720,20,25,1.2438720821917808,76.134433,0.0,8.977927909334863,90.802662,76.137928,0.0,2.454126,12.492971509125349,90.80251100000001,76.134567,7.2e-05,2.5943574571428574,12.830133725036722,25,23,0,0,4,7,3,48,70,0,0,0.9473684210526315,168.17567567567568,64240,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.18421052631578,186.11111111111111,0,38,36,5745,6700
192.168.56.2,192.168.56.1,37764,22,6,2025-08-12 07:17:23,91.202045,129.86550904642544,0.7236679835413778,0.3618339917706889,0.3618339917706889,33,33,5360,6484,970,66,162.42424242424244,207.64276290798682,1066,54,196.4848484848485,253.8235036054636,1066,54,179.45454545454547,232.51016151259188,54060.97520661156,660,660,20,24,1.4031083846153845,90.610768,0.0,11.150963310730148,91.195597,90.614683,0.0,2.8498624062499998,15.763035196078702,91.20189,90.610967,0.000642,2.8500590625,15.762331046559334,24,22,0,0,2,5,2,46,63,0,0,1.0,179.45454545454547,64240,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.42424242424244,196.4848484848485,0,33,33,5360,6484
