src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.56.2,192.168.56.1,41506,80,6,2025-08-12 05:52:45,127.402044,5.227545642831288,0.07064250868690929,0.07064250868690929,0.0,9,0,666,0,74,74,74.0,0.0,0,0,0,0.0,74,74,74.0,0.0,0.0,180,0,20,0,15.925255499999999,120.275662,0.0,39.44396532107474,127.402044,120.275662,0.0,15.925255499999999,39.44396532107474,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0.0,74.0,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,0,0,9,0,666,0
192.168.56.2,192.168.56.1,41632,80,6,2025-08-12 05:52:45,127.40009,5.227625820358526,0.0706435921670071,0.0706435921670071,0.0,9,0,666,0,74,74,74.0,0.0,0,0,0,0.0,74,74,74.0,0.0,0.0,180,0,20,0,15.925011249999999,120.265672,0.0,39.44026780209627,127.40008999999999,120.265672,0.0,15.925011249999999,39.44026780209627,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0.0,74.0,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,0,0,9,0,666,0
192.168.56.2,192.168.56.1,41670,80,6,2025-08-12 05:52:45,127.407161,5.227335691123359,0.070639671501667,0.070639671501667,0.0,9,0,666,0,74,74,74.0,0.0,0,0,0,0.0,74,74,74.0,0.0,0.0,180,0,20,0,15.925895124999998,120.291187,0.0,39.44957756211282,127.40716099999999,120.291187,0.0,15.925895124999998,39.44957756211282,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0.0,74.0,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,0,0,9,0,666,0
192.168.56.2,192.168.56.1,41736,80,6,2025-08-12 05:52:46,127.420638,5.226782807350251,0.0706322000993277,0.0706322000993277,0.0,9,0,666,0,74,74,74.0,0.0,0,0,0,0.0,74,74,74.0,0.0,0.0,180,0,20,0,15.927579750000001,120.308975,0.0,39.45567870620578,127.420638,120.308975,0.0,15.927579750000001,39.45567870620578,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0.0,74.0,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,0,0,9,0,666,0
192.168.56.2,192.168.56.1,41758,80,6,2025-08-12 05:52:46,127.419754,5.2268190692002126,0.07063269012432719,0.07063269012432719,0.0,9,0,666,0,74,74,74.0,0.0,0,0,0,0.0,74,74,74.0,0.0,0.0,180,0,20,0,15.927469250000001,120.296384,0.0,39.450957746499554,127.419754,120.296384,0.0,15.927469250000001,39.450957746499554,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0.0,74.0,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,0,0,9,0,666,0
192.168.56.2,192.168.56.1,41810,80,6,2025-08-12 05:52:46,127.413848,5.227061347366261,0.07063596415359813,0.07063596415359813,0.0,9,0,666,0,74,74,74.0,0.0,0,0,0,0.0,74,74,74.0,0.0,0.0,180,0,20,0,15.926731,120.294666,0.0,39.45059269926715,127.413848,120.294666,0.0,15.926731,39.45059269926715,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0.0,74.0,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,0,0,9,0,666,0
192.168.56.2,192.168.56.1,41812,80,6,2025-08-12 05:52:46,127.412739,5.227106843688526,0.07063657896876387,0.07063657896876387,0.0,9,0,666,0,74,74,74.0,0.0,0,0,0,0.0,74,74,74.0,0.0,0.0,180,0,20,0,15.926592375,120.300511,0.0,39.45285468163811,127.412739,120.300511,0.0,15.926592375,39.45285468163811,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0.0,74.0,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,0,0,9,0,666,0
192.168.56.2,192.168.56.1,41822,80,6,2025-08-12 05:52:46,127.413947,5.22705728596572,0.07063590926980702,0.07063590926980702,0.0,9,0,666,0,74,74,74.0,0.0,0,0,0,0.0,74,74,74.0,0.0,0.0,180,0,20,0,15.926743375000001,120.27699,0.0,39.44390513736333,127.413947,120.27699,0.0,15.926743375000001,39.44390513736333,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0.0,74.0,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,0,0,9,0,666,0
192.168.56.2,192.168.56.1,41908,80,6,2025-08-12 05:52:46,127.433649,5.226249151823315,0.0706249885381529,0.0706249885381529,0.0,9,0,666,0,74,74,74.0,0.0,0,0,0,0.0,74,74,74.0,0.0,0.0,180,0,20,0,15.929206125000002,120.312425,0.0,39.45635602075318,127.433649,120.312425,0.0,15.929206125000002,39.45635602075318,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0.0,74.0,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,0,0,9,0,666,0
192.168.56.2,192.168.56.1,41944,80,6,2025-08-12 05:52:46,127.441811,5.225914437138687,0.07062046536673902,0.07062046536673902,0.0,9,0,666,0,74,74,74.0,0.0,0,0,0,0.0,74,74,74.0,0.0,0.0,180,0,20,0,15.930226374999998,120.314577,0.0,39.45679513810357,127.441811,120.314577,0.0,15.930226374999998,39.45679513810357,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0.0,74.0,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,0,0,9,0,666,0
